Exam,Section(s),Day,Date,Start,Finish,Location,,,,,,,,
CLAS 651,001,Tuesday,"December 8, 2015",9:00 AM,11:00 AM,ML 212,,,,,,,,
CM 762,001,Wednesday,"December 16, 2015",7:30 PM,10:00 PM,MC 4021,,,,,,,,
CMW 363,001,Monday,"December 14, 2015",7:30 PM,10:00 PM,CGC 1208,,,,,,,,
CO 227,001,Tuesday,"December 22, 2015",9:00 AM,11:30 AM,MC 4059,,,,,,,,
CO 250,"001,002",Saturday,"December 19, 2015",9:00 AM,11:30 AM,"RCH 103,105,110,112",,,,,,,,
CO 330,001,Friday,"December 11, 2015",12:30 PM,3:00 PM,PAC 9,,,,,,,,
CO 342,001,Tuesday,"December 22, 2015",9:00 AM,11:30 AM,MC 2034,,,,,,,,
CO 351,001,Monday,"December 14, 2015",7:30 PM,10:00 PM,PAC 8,,,,,,,,
CO 370,001,Monday,"December 14, 2015",4:00 PM,6:30 PM,"MC 2034,2035",,,,,,,,
CO 372,001,Tuesday,"December 22, 2015",4:00 PM,6:30 PM,MC 4061,,,,,,,,
CO 430,001,Tuesday,"December 8, 2015",4:00 PM,6:30 PM,RCH 206,,,,,,,,
CO 442,001,Wednesday,"December 9, 2015",12:30 PM,3:00 PM,PAC 9,,,,,,,,
CO 450,001,Exam removed from the schedule. Contact instructor for further information.,,,,,,,,,,,,
CO 456,001,Saturday,"December 12, 2015",12:30 PM,3:00 PM,PAC 11,,,,,,,,
CO 485,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,AL 105,,,,,,,,
CO 630,001,Tuesday,"December 8, 2015",4:00 PM,6:30 PM,RCH 206,,,,,,,,
CO 642,001,Wednesday,"December 9, 2015",12:30 PM,3:00 PM,PAC 9,,,,,,,,
CO 650,001,Exam removed from the schedule. Contact instructor for further information.,,,,,,,,,,,,
CO 685,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,AL 105,,,,,,,,
COMM 231,001,Saturday,"December 19, 2015",7:30 PM,10:00 PM,CIF1 R-Y,,,,,,,,
COMM 421,001,Monday,"December 14, 2015",9:00 AM,11:30 AM,MC 4042,,,,,,,,
COMM 431,001,Friday,"December 18, 2015",4:00 PM,6:30 PM,MC 4041,,,,,,,,
CROAT 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
CROAT 201,001,Tuesday,"December 8, 2015",7:30 PM,10:00 PM,ML 212,,,,,,,,
CS 100,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
CS 115,"001,003,005 to 008",Thursday,"December 17, 2015",9:00 AM,11:30 AM,"CIF1 A-Z, CIF2 A-M",,,,,,,,
CS 115,"002,004",Thursday,"December 17, 2015",9:00 AM,11:30 AM,M3 1006,,,,,,,,
CS 115,009,Thursday,"December 17, 2015",9:00 AM,11:30 AM,MC 1085,,,,,,,,
CS 115,010,Thursday,"December 17, 2015",9:00 AM,11:30 AM,"MC 2017,2054",,,,,,,,
CS 116,001 to 003,Thursday,"December 17, 2015",9:00 AM,11:30 AM,"MC 4020,4021,4059,4061",,,,,,,,
CS 135,"001,005",Thursday,"December 17, 2015",12:30 PM,3:00 PM,M3 1006,,,,,,,,
CS 135,"002 to 004, 006 to 010",Thursday,"December 17, 2015",12:30 PM,3:00 PM,"CIF1 A-Z, CIF2 A-M",,,,,,,,
CS 135,011,Thursday,"December 17, 2015",12:30 PM,3:00 PM,"MC 2017,2054",,,,,,,,
CS 136,001 to 003,Thursday,"December 17, 2015",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,
CS 137,001,Thursday,"December 17, 2015",9:00 AM,11:30 AM,"MC 2034,2035,2038",,,,,,,,
CS 145,001,Saturday,"December 19, 2015",7:30 PM,10:00 PM,DC 1351,,,,,,,,
CS 200,001,Monday,"December 21, 2015",4:00 PM,6:30 PM,MC 4020,,,,,,,,
CS 230,001,Saturday,"December 12, 2015",7:30 PM,10:00 PM,DC 1351,,,,,,,,
CS 234,"001,002",Tuesday,"December 22, 2015",4:00 PM,6:30 PM,M3 1006,,,,,,,,
CS 240,"001,002",Tuesday,"December 15, 2015",12:30 PM,3:00 PM,M3 1006,,,,,,,,
CS 241,001 to 005,Tuesday,"December 22, 2015",4:00 PM,6:30 PM,CIF1 A-U,,,,,,,,
CS 245,001 to 006,Monday,"December 14, 2015",12:30 PM,3:00 PM,"M3 1006, 
MC 4020,4021,4059,4060,4061",,,,,,,,
CS 246,001 to 005,Thursday,"December 17, 2015",12:30 PM,3:00 PM,"MC 1085,2034,2035,2038
MC 4020,4021,4045,4059,4061",,,,,,,,
CS 251,"001,002",Thursday,"December 10, 2015",7:30 PM,10:00 PM,M3 1006,,,,,,,,
CS 330,"001,002",Thursday,"December 17, 2015",9:00 AM,11:30 AM,"RCH 103,105,110,112",,,,,,,,
CS 335,001,Friday,"December 18, 2015",4:00 PM,6:30 PM,DC 1350,,,,,,,,
CS 338,001,Thursday,"December 17, 2015",7:30 PM,10:00 PM,"MC 4020,4021",,,,,,,,
CS 341,001 to 003,Thursday,"December 10, 2015",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,
CS 343,001 to 003,Friday,"December 18, 2015",12:30 PM,3:00 PM,"RCH 301,302,307",,,,,,,,
CS 348,001 to 003,Monday,"December 14, 2015",12:30 PM,3:00 PM,"DC 1350,1351",,,,,,,,
CS 349,"001,002",Thursday,"December 17, 2015",9:00 AM,11:30 AM,"RCH 301,309",,,,,,,,
CS 350,001 to 003,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,
CS 360,001,Saturday,"December 19, 2015",7:30 PM,10:00 PM,MC 4020,,,,,,,,
CS 370,"001,002",Tuesday,"December 8, 2015",7:30 PM,10:00 PM,M3 1006,,,,,,,,
CS 430,001,Monday,"December 21, 2015",9:00 AM,11:30 AM,"MC 4063,4064",,,,,,,,
CS 432,001,Friday,"December 11, 2015",7:30 PM,10:00 PM,PAC 8,,,,,,,,
CS 436,001,Wednesday,"December 16, 2015",9:00 AM,11:30 AM,"CIF1 Y,Z",,,,,,,,
CS 445,001,Thursday,"December 10, 2015",4:00 PM,6:30 PM,"PAC 9,10",,,,,,,,
CS 456,"001,002",Wednesday,"December 9, 2015",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,
CS 458,"001,002",Thursday,"December 17, 2015",4:00 PM,6:30 PM,CIF1 R-X,,,,,,,,
CS 466,001,Thursday,"December 10, 2015",9:00 AM,11:30 AM,RCH 105,,,,,,,,
CS 485,001,Saturday,"December 12, 2015",7:30 PM,10:00 PM,MC 4021,,,,,,,,
CS 486,"001,002",Monday,"December 21, 2015",12:30 PM,3:00 PM,DC 1350,,,,,,,,
CS 488,001,Tuesday,"December 8, 2015",4:00 PM,6:30 PM,RCH 103,,,,,,,,
CS 645,001,Thursday,"December 10, 2015",4:00 PM,6:30 PM,"PAC 9,10",,,,,,,,
CS 656,"001,002",Wednesday,"December 9, 2015",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,
CS 658,"001,002",Thursday,"December 17, 2015",4:00 PM,6:30 PM,CIF1 R-X,,,,,,,,
CS 666,001,Thursday,"December 10, 2015",9:00 AM,11:30 AM,RCH 105,,,,,,,,
CS 685,001,Saturday,"December 12, 2015",7:30 PM,10:00 PM,MC 4021,,,,,,,,
CS 686,"001,002",Monday,"December 21, 2015",12:30 PM,3:00 PM,DC 1350,,,,,,,,
CS 688,001,Tuesday,"December 8, 2015",4:00 PM,6:30 PM,RCH 103,,,,,,,,
DRAMA 243,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,ML 216,,,,,,,,
DRAMA 386,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
DUTCH 101,001,Saturday,"December 19, 2015",7:30 PM,10:00 PM,RCH 204,,,,,,,,
DUTCH 201,001,Wednesday,"December 9, 2015",9:00 AM,11:30 AM,ML 354,,,,,,,,
EARTH 121,001,Saturday,"December 12, 2015",12:30 PM,3:00 PM,"PAC 1,2,3",,,,,,,,
EARTH 121L,001 to 005,Tuesday,"December 22, 2015",9:00 AM,11:00 AM,M3 1006,,,,,,,,
EARTH 123,001,Thursday,"December 17, 2015",7:30 PM,10:00 PM,CIF2 A-H,,,,,,,,
EARTH 123L,001 to 004,Monday,"December 14, 2015",9:00 AM,11:30 AM,RCH 302,,,,,,,,
EARTH 231,001,Wednesday,"December 16, 2015",9:00 AM,11:30 AM,"RCH 110,112",,,,,,,,
EARTH 235,001,Friday,"December 11, 2015",7:30 PM,10:00 PM,PAC 6,,,,,,,,
EARTH 260,001,Friday,"December 18, 2015",4:00 PM,6:30 PM,"MC 2034,2035",,,,,,,,
EARTH 331,001,Thursday,"December 10, 2015",12:30 PM,3:00 PM,PAC 10,,,,,,,,
EARTH 342,"001,002",Saturday,"December 19, 2015",7:30 PM,10:00 PM,CIF2 A-G,,,,,,,,
EARTH 359,001,Friday,"December 11, 2015",12:30 PM,3:00 PM,PAC 11,,,,,,,,
EARTH 439,001,Monday,"December 21, 2015",7:30 PM,10:00 PM,MC 4041,,,,,,,,
EARTH 440,001,Saturday,"December 12, 2015",7:30 PM,10:00 PM,MC 4041,,,,,,,,
EARTH 461,001,Tuesday,"December 8, 2015",4:00 PM,6:30 PM,PAC 10,,,,,,,,
EARTH 668,001,Tuesday,"December 8, 2015",4:00 PM,6:30 PM,PAC 10,,,,,,,,
EASIA 201R,003,Monday,"December 21, 2015",7:30 PM,10:00 PM,REN 2106,,,,,,,,
EASIA 375R,001,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,REN 2104,,,,,,,,
ECE 105,001 to 004,Thursday,"December 10, 2015",12:30 PM,3:00 PM,"PAC 1,2,3,4,5",,,,,,,,
ECE 140,001 to 004,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,9",,,,,,,,
ECE 150,001 to 003,Thursday,"December 17, 2015",7:30 PM,10:00 PM,CIF1 A-Z,,,,,,,,
ECE 205,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,"MC 4059,4061",,,,,,,,
ECE 206,001,Saturday,"December 19, 2015",12:30 PM,3:00 PM,MC 1085,,,,,,,,
ECE 207,001,Wednesday,"December 9, 2015",12:30 PM,3:00 PM,DC 1350,,,,,,,,
ECE 207,002,Wednesday,"December 9, 2015",12:30 PM,3:00 PM,DC 1351,,,,,,,,
ECE 209,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,RCH 302,,,,,,,,
ECE 222,001,Thursday,"December 17, 2015",9:00 AM,11:30 AM,DC 1350,,,,,,,,
ECE 222,002,Thursday,"December 17, 2015",9:00 AM,11:30 AM,DC 1351,,,,,,,,
ECE 224,001,Wednesday,"December 16, 2015",12:30 PM,3:00 PM,DC 1350,,,,,,,,
ECE 224,002,Wednesday,"December 16, 2015",12:30 PM,3:00 PM,MC 2017,,,,,,,,
ECE 240,001,Thursday,"December 10, 2015",12:30 PM,3:00 PM,"MC 4059,4061",,,,,,,,
ECE 242,"001,002",Friday,"December 18, 2015",9:00 AM,11:30 AM,M3 1006,,,,,,,,
ECE 250,001,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,"RCH 301,302",,,,,,,,
ECE 254,001,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,"MC 4059,4061",,,,,,,,
ECE 254,002,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,RCH 205,,,,,,,,
ECE 290,001,Friday,"December 18, 2015",4:00 PM,6:30 PM,DC 1351,,,,,,,,
ECE 318,001,Saturday,"December 19, 2015",12:30 PM,3:00 PM,"MC 2034,2035,2038",,,,,,,,
ECE 356,001,Wednesday,"December 9, 2015",9:00 AM,11:30 AM,RCH 301,,,,,,,,
ECE 358,001,Tuesday,"December 8, 2015",12:30 PM,3:00 PM,"PAC 9,10",,,,,,,,
ECE 361,001,Thursday,"December 10, 2015",9:00 AM,11:30 AM,RCH 103,,,,,,,,
ECE 390,001,Monday,"December 14, 2015",4:00 PM,6:30 PM,M3 1006,,,,,,,,
ECE 484,001,Tuesday,"December 15, 2015",12:30 PM,3:00 PM,"DWE 2402,3522,3522A",,,,,,,,
ECON 101,001,Thursday,"December 10, 2015",7:30 PM,10:00 PM,"RCH 305,306,307,308,309",,,,,,,,
ECON 101,002,Thursday,"December 10, 2015",7:30 PM,10:00 PM,"MC 4020,4021,4059,4061",,,,,,,,
ECON 101,003,Thursday,"December 10, 2015",7:30 PM,10:00 PM,"PAC 7,8,9",,,,,,,,
ECON 101,"004,008",Thursday,"December 10, 2015",7:30 PM,10:00 PM,"PAC 1,2,3,4",,,,,,,,
ECON 101,005,Thursday,"December 10, 2015",7:30 PM,10:00 PM,"PAC 5,6",,,,,,,,
ECON 101,006,Thursday,"December 10, 2015",7:30 PM,10:00 PM,"RCH 103,105,106,110,112",,,,,,,,
ECON 101,007,Thursday,"December 10, 2015",7:30 PM,10:00 PM,"DC 1350,1351",,,,,,,,
ECON 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ECON 102,"001,003",Tuesday,"December 15, 2015",9:00 AM,11:30 AM,"PAC 1,2,3",,,,,,,,
ECON 102,002,Tuesday,"December 15, 2015",9:00 AM,11:30 AM,"PAC 7,8,9",,,,,,,,
ECON 120W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,,,,,,
ECON 201,001,Friday,"December 11, 2015",7:30 PM,10:00 PM,PAC 1,,,,,,,,
ECON 201,002,Friday,"December 11, 2015",7:30 PM,10:00 PM,PAC 2,,,,,,,,
ECON 201,003,Friday,"December 11, 2015",7:30 PM,10:00 PM,PAC 3,,,,,,,,
ECON 201,004,Friday,"December 11, 2015",7:30 PM,10:00 PM,PAC 4,,,,,,,,
ECON 201,005,Friday,"December 11, 2015",7:30 PM,10:00 PM,PAC 5,,,,,,,,
ECON 202,"001,003",Thursday,"December 17, 2015",4:00 PM,6:30 PM,"DC 1350,1351",,,,,,,,
ECON 202,002,Thursday,"December 17, 2015",4:00 PM,6:30 PM,MC 4061,,,,,,,,
ECON 202,004,Thursday,"December 17, 2015",4:00 PM,6:30 PM,MC 4042,,,,,,,,
ECON 211,"001,002",Monday,"December 14, 2015",9:00 AM,11:30 AM,"RCH 103,105",,,,,,,,
ECON 221,"001,002",Tuesday,"December 22, 2015",9:00 AM,11:30 AM,MC 4061,,,,,,,,
ECON 231,"001,002",Saturday,"December 19, 2015",4:00 PM,6:30 PM,M3 1006,,,,,,,,
ECON 254,001,Wednesday,"December 16, 2015",9:00 AM,11:30 AM,CIF1 R-X,,,,,,,,
ECON 301,001,Tuesday,"December 15, 2015",7:30 PM,10:00 PM,PAC 7,,,,,,,,
ECON 301,002,Tuesday,"December 15, 2015",7:30 PM,10:00 PM,PAC 8,,,,,,,,
ECON 302,001,Thursday,"December 17, 2015",4:00 PM,6:30 PM,MC 4045,,,,,,,,
ECON 302,002,Thursday,"December 17, 2015",4:00 PM,6:30 PM,MC 4059,,,,,,,,
ECON 304,001,Wednesday,"December 9, 2015",7:30 PM,9:00 PM,DC 1350,,,,,,,,
ECON 311,001,Thursday,"December 10, 2015",4:00 PM,6:30 PM,RCH 207,,,,,,,,
ECON 321,001,Friday,"December 18, 2015",12:30 PM,3:00 PM,RCH 110,,,,,,,,
ECON 321,002,Friday,"December 18, 2015",12:30 PM,3:00 PM,RCH 112,,,,,,,,
ECON 341,001,Tuesday,"December 8, 2015",4:00 PM,5:30 PM,RCH 305,,,,,,,,
ECON 351,001,Tuesday,"December 22, 2015",7:30 PM,9:30 PM,MC 4045,,,,,,,,
ECON 355,001,Monday,"December 21, 2015",7:30 PM,10:00 PM,MC 4020,,,,,,,,
ECON 361,001,Wednesday,"December 16, 2015",12:30 PM,2:30 PM,MC 2054,,,,,,,,
ECON 371,"001,002",Friday,"December 18, 2015",7:30 PM,10:00 PM,M3 1006,,,,,,,,
ECON 381,001,Thursday,"December 10, 2015",7:30 PM,10:00 PM,PAC 10,,,,,,,,
ECON 401,001,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,PAC 11,,,,,,,,
ECON 402,001,Monday,"December 21, 2015",12:30 PM,2:00 PM,MC 4040,,,,,,,,
ECON 404,001,Monday,"December 14, 2015",4:00 PM,6:30 PM,"CIF1 Y,Z",,,,,,,,
ECON 412,001,Wednesday,"December 16, 2015",4:00 PM,6:30 PM,MC 4042,,,,,,,,
ECON 421,001,Tuesday,"December 8, 2015",7:30 PM,10:00 PM,MC 4045,,,,,,,,
ECON 456,001,Tuesday,"December 15, 2015",12:30 PM,3:00 PM,MC 4064,,,,,,,,
EMLS 129R,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ENBUS 202,001,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,CIF1 P-X,,,,,,,,
ENBUS 204,001,Friday,"December 18, 2015",9:00 AM,11:30 AM,CIF2 D-L,,,,,,,,
ENBUS 406,001,Tuesday,"December 8, 2015",4:00 PM,6:30 PM,RCH 309,,,,,,,,
ENGL 101A,001,Tuesday,"December 22, 2015",9:00 AM,11:30 AM,MC 4045,,,,,,,,
ENGL 101B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ENGL 104,001,Thursday,"December 10, 2015",12:30 PM,3:00 PM,MC 2038,,,,,,,,
ENGL 108A,001,Exam removed from the schedule. Contact instructor for further information.,,,,,,,,,,,,
ENGL 109,014,Tuesday,"December 15, 2015",4:00 PM,6:30 PM,HH 2107,,,,,,,,
ENGL 109,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ENGL 140R,006,Saturday,"December 19, 2015",12:30 PM,3:00 PM,REN 2102,,,,,,,,
ENGL 190,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ENGL 200A,001,Wednesday,"December 9, 2015",9:00 AM,11:30 AM,HH 1102,,,,,,,,
ENGL 200A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ENGL 208A,001,Monday,"December 14, 2015",7:30 PM,10:00 PM,STJ 3027,,,,,,,,
ENGL 208C,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ENGL 210F,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ENGL 210I,001,Monday,"December 14, 2015",7:30 PM,10:00 PM,STJ 2011,,,,,,,,
ENGL 211,001,Friday,"December 11, 2015",4:00 PM,6:30 PM,MC 4042,,,,,,,,
ENGL 251A,001,Saturday,"December 19, 2015",12:30 PM,3:00 PM,STJ 2011,,,,,,,,
ENGL 251A,002,Monday,"December 14, 2015",7:30 PM,10:00 PM,PAC 7,,,,,,,,
ENGL 251A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ENGL 306A,001,Monday,"December 21, 2015",12:30 PM,3:00 PM,MC 1056,,,,,,,,
ENGL 309A,001,Tuesday,"December 22, 2015",4:00 PM,6:30 PM,MC 4042,,,,,,,,
ENGL 309C,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ENGL 310A,001,Friday,"December 11, 2015",9:00 AM,11:30 AM,MC 4042,,,,,,,,
ENGL 325,001,Tuesday,"December 8, 2015",9:00 AM,11:30 AM,STJ 3016,,,,,,,,
ENGL 343,001,Friday,"December 18, 2015",4:00 PM,6:30 PM,MC 2038,,,,,,,,
ENGL 350B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ENGL 362,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
ENGL 371,001,Thursday,"December 10, 2015",9:00 AM,11:30 AM,STJ 2011,,,,,,,,
ENGL 376R,001,Thursday,"December 10, 2015",7:30 PM,10:00 PM,REN 2104,,,,,,,,
ENVE 214,001,Tuesday,"December 8, 2015",9:00 AM,11:30 AM,"DWE 1501,1502",,,,,,,,
ENVE 223,001,Monday,"December 21, 2015",9:00 AM,11:30 AM,"CPH 3604,3607",,,,,,,,
ENVE 276,001,Monday,"December 14, 2015",9:00 AM,11:30 AM,DWE 1501,,,,,,,,
ENVE 292,001,Friday,"December 11, 2015",9:00 AM,11:30 AM,DWE 1501,,,,,,,,
ENVE 472,001,Saturday,"December 12, 2015",4:00 PM,6:30 PM,CPH 3607,,,,,,,,
ENVS 105,001,Thursday,"December 10, 2015",12:30 PM,3:00 PM,"RCH 103,105",,,,,,,,
ENVS 200,001,Monday,"December 14, 2015",9:00 AM,11:30 AM,"MC 4020,4021,4059,4061",,,,,,,,
ENVS 201,001,Wednesday,"December 9, 2015",12:30 PM,3:00 PM,"PAC 6,7,8",,,,,,,,
ENVS 278,"001,002",Friday,"December 11, 2015",9:00 AM,11:30 AM,"PAC 4,5,6,7",,,,,,,,
ERS 110,001,Friday,"December 11, 2015",7:30 PM,10:00 PM,HH 1101,,,,,,,,
ERS 211,001,Thursday,"December 10, 2015",9:00 AM,11:30 AM,HH 1101,,,,,,,,
ERS 370,001,Tuesday,"December 8, 2015",12:30 PM,2:30 PM,EV3 3412,,,,,,,,
FINE 102,001,Thursday,"December 10, 2015",4:00 PM,6:30 PM,"RCH 301,302",,,,,,,,
FR 101,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
FR 151,001 to 003,Tuesday,"December 22, 2015",12:30 PM,2:30 PM,"DC 1350,1351",,,,,,,,
FR 151,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
FR 152,001 to 003,Tuesday,"December 22, 2015",4:00 PM,6:00 PM,RCH 301,,,,,,,,
FR 152,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
FR 192A,"001,002,004 to 006",Wednesday,"December 16, 2015",7:30 PM,9:30 PM,DC 1350,,,,,,,,
FR 192A,003,Wednesday,"December 16, 2015",7:30 PM,9:30 PM,STJ 3014,,,,,,,,
FR 192A,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
FR 192B,001 to 003,Saturday,"December 12, 2015",9:00 AM,11:00 AM,"RCH 306,307",,,,,,,,
FR 192B,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
FR 197,001,Tuesday,"December 22, 2015",4:00 PM,6:30 PM,AL 105,,,,,,,,
FR 251,"001,002",Wednesday,"December 9, 2015",9:00 AM,11:00 AM,AL 208,,,,,,,,
FR 251,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
FR 252,001,Saturday,"December 12, 2015",7:30 PM,10:00 PM,RCH 205,,,,,,,,
FR 252,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
FR 291,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
FR 297,001,Friday,"December 18, 2015",9:00 AM,11:00 AM,ML 349,,,,,,,,
FR 297,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,,,,,,
FR 343,001,Tuesday,"December 8, 2015",7:30 PM,10:00 PM,ML 354,,,,,,,,
